date,ticker,vol10,momentum,market_cap,beta
1/17/2014,CAB,27.796999999999997,-0.06695691337636993,4836.6465,1.5343
1/17/2014,CADX,69.374,0.2555994729907773,1009.8028,1.6226
1/17/2014,CAKE,25.052,0.19584274996646123,2361.3856,0.9953
1/17/2014,CALD,28.31,0.8303030303030304,644.2215,1.6301
1/17/2014,CALL,48.431999999999995,-0.3210332103321034,252.1274,1.325
1/17/2014,CASY,18.82,0.13748862742679166,2634.3643,0.9502
1/17/2014,CATY,19.607,0.1023052322999023,2014.4588,1.4014
1/17/2014,CAVM,25.68,-0.04415372035977099,1854.8359,1.3141
1/17/2014,CBOE,26.570999999999998,0.04736193097571003,4349.407999999999,0.8935
1/17/2014,CBS,19.905,0.10338881798680317,36303.3944,1.3172
1/17/2014,CBSH,21.568,0.030921759432884752,4345.5657,0.9145
1/17/2014,CCE,14.427999999999999,0.13655650819633056,11496.9707,1.1462
1/17/2014,CCL,17.937,-0.040748259433531504,32267.3259,1.1007
1/17/2014,CCOI,21.948,0.3591583522671145,1989.0747,0.9412
1/17/2014,CDNS,24.901999999999997,-0.07734806629834261,4163.6471,1.2031
1/17/2014,CDW,16.453,0.048431349159012316,4202.6392,0.5581
1/17/2014,CE,22.715,0.19775550154491167,8687.7439,1.2155
1/17/2014,CENX,46.441,-0.1495145631067962,986.1542,1.7573
1/17/2014,CERN,25.484,0.18002466091245387,19133.4745,0.8994
1/17/2014,CFR,13.534,0.034504219244747274,4523.4256,0.8785
1/17/2014,CGNX,16.026,0.31369560922904477,3303.5702,1.2981
1/17/2014,CHD,10.44,0.05031758963048322,9098.7159,0.6272
1/17/2014,CHK,24.311,0.1627784073054839,16926.7493,1.4056
1/17/2014,CHRW,19.054000000000002,-0.019282129059214004,8966.1808,0.731
1/17/2014,CHS,19.906,0.10835765694366584,2770.9349,1.0089
1/17/2014,CHTR,23.485,0.009005599040164512,13984.0015,0.9361
1/17/2014,CIE,20.971,-0.39584067677123724,6794.4878,1.4744
1/17/2014,CIEN,36.611999999999995,0.07159247361174861,2289.8779,1.6228
1/17/2014,CIM,10.845,0.0477115022287579,3113.4086,0.907
1/17/2014,CINF,9.259,0.07402183541755351,8276.7279,0.9520000000000001
1/17/2014,CJESQ,31.246,0.23112480739599384,1242.4693,1.2361
1/17/2014,CL,15.103,0.09566777620637802,60048.0684,0.7455
1/17/2014,CLD,40.426,0.05486725663716813,1065.7119,0.8865
1/17/2014,CLDX,48.446999999999996,0.276270350271337,2518.2595,1.4326
1/17/2014,CLF,41.512,0.2611260768676819,3434.5736,1.3531
1/17/2014,CLNE,26.828000000000003,-0.06088992974238885,1074.0879,1.6571
1/17/2014,CLNY,14.777999999999999,-0.027197106242760952,1617.8217,0.8705
1/17/2014,CLR,29.756999999999998,0.1433369447453955,20146.9762,1.6065
1/17/2014,CLVS,70.92699999999999,-0.2708663497094559,2470.8324,2.1092
1/17/2014,CLX,11.189,0.12368370422625519,11610.1442,0.6497
1/17/2014,CMA,12.503,0.08636189147621363,8715.6944,1.2517
1/17/2014,CME,21.881999999999998,0.09651932521887675,25315.9932,0.9091
1/17/2014,CMG,13.745999999999999,0.2955133417103997,16326.5753,0.6983
1/17/2014,CMS,18.266,-0.04342374924653407,7059.2104,0.7383
1/17/2014,CNAT,341.36800000000005,-0.3041666666666667,162.2905,1.8333
1/17/2014,CNO,17.194000000000003,0.17437221136472583,4031.9143,1.3776
1/17/2014,CNP,16.666,-0.04264706581531025,10038.7527,0.8056
1/17/2014,CNW,41.379,0.01550898158605826,2309.2021,1.0743
1/17/2014,CODE,31.969,0.08226221079691524,855.2467,1.2262
1/17/2014,CONN,38.17,0.17366136034732269,2424.2532,0.5116
1/17/2014,COO,20.288,-0.00023802378168043053,6225.6742,0.8505
1/17/2014,COST,29.663,0.05248820308243527,51135.3193,0.9504
1/17/2014,CPA,34.293,0.08016718707185791,6492.2806,0.6991
1/17/2014,CPHD,34.321999999999996,0.3458188153310106,3278.4429999999998,1.0754
1/17/2014,CPT,12.671,-0.15635431151482415,5153.4469,0.8831
1/17/2014,CRAY,81.36,0.007413868294810367,1219.8531,1.4489
1/17/2014,CREE,65.403,-0.14699397324709687,7543.9215,1.3511
1/17/2014,CRI,10.687999999999999,-0.039878556802937205,3833.1704,0.8493
1/17/2014,CROX,12.787,-0.04369992716678803,1327.4211,1.4033
1/17/2014,CRR,39.361999999999995,0.40271832711049044,2589.1038,0.9771
1/17/2014,CSGS,21.679000000000002,0.23142568690211554,1051.4824,0.7897
1/17/2014,CSII,29.445999999999998,0.5856459330143542,838.432,1.0489
1/17/2014,CSOD,42.479,0.12865232163080406,2925.2241,1.0063
1/17/2014,CSTE,60.144,0.5235151557725404,1611.5568,0.5720000000000001
1/17/2014,CTAS,10.579,0.17617380536950533,7086.7322,0.9663
1/17/2014,CTB,34.965,-0.2778322008807153,1566.4167,0.9624
1/17/2014,CTCM,38.811,0.04988745767841266,2002.4399,1.19
1/17/2014,CTCT,48.354,0.41062039957939006,994.347,1.2757
1/17/2014,CTIC,82.14200000000001,0.7889908256880733,529.5761,1.1489
1/17/2014,CVBF,12.592,0.24894029208199492,1746.9779,1.3005
1/17/2014,CVC,17.742,-0.13512000639729488,4377.9697,1.3547
1/17/2014,CVD,24.86,0.08769731896767728,5381.0102,0.7011
1/17/2014,CVI,38.753,-0.1455892487939353,3491.4764,1.0868
1/17/2014,CVLT,48.06100000000001,-0.06708248472505086,3544.7665,1.1869
1/17/2014,CXO,32.461999999999996,0.1439072011025612,10464.1331,1.4121
1/17/2014,CYT,13.061,0.18309346938993803,3281.6664,1.0771
1/17/2014,DAL,40.562,0.29564657638756453,26581.8111,1.1262
1/17/2014,DAN,58.178999999999995,-0.12144477990807867,3070.2979,1.5219
1/17/2014,DATA,45.067,0.23330232558139546,4292.6990000000005,0.1343
1/17/2014,DBD,22.738000000000003,0.013839928674302204,2222.8498,1.0353
1/17/2014,DDS,26.051,0.11191367844826734,3981.9032,0.9932
1/17/2014,DECK,55.192,0.5878618113912233,2590.9459,0.9082
1/17/2014,DF,29.901,-0.13878512502587245,1605.8157,0.9519
1/17/2014,DFRG,27.529,-0.07855126999059274,530.9239,0.8253
1/17/2014,DFT,20.648000000000003,-0.010449315486017638,2019.0673,1.1363
1/17/2014,DG,31.598000000000003,0.11937531321038028,19247.335,0.6834
1/17/2014,DGI,21.19,0.24078624078624067,3159.3144,0.7166
1/17/2014,DIS,20.895,0.09972425353112734,130003.5495,1.0607
1/17/2014,DKS,36.83,0.07067283102504199,6742.2372,1.0085
1/17/2014,DLB,24.234,0.09269868565749836,4131.5609,0.968
1/17/2014,DLPH,22.896,0.05521460757688399,19293.891,1.0433
1/17/2014,DLTR,8.785,0.03839638622247316,11303.6641,0.9531
1/17/2014,DMND,26.299,0.21650943396226416,565.6988,0.804
1/17/2014,DNB,20.105999999999998,0.16690085420074746,4539.936,1.069
1/17/2014,DNKN,17.642,0.11815054578943095,5002.9653,1.0212
1/17/2014,DNR,23.398000000000003,-0.07028329667423894,5962.365,1.4509999999999998
1/17/2014,DO,19.29,-0.10962593084818834,7521.8176,1.1036
1/17/2014,DPS,16.688,0.059688869886344885,9729.1786,0.8115
1/17/2014,DPZ,8.787,0.12245034329530075,3992.2561,1.0993
1/17/2014,DRE,13.472000000000001,-0.09270114046797816,4860.7938,1.2847
1/17/2014,DRH,14.460999999999999,0.11957784001639456,2310.4648,1.3306
1/17/2014,DRI,25.203000000000003,0.08556579971723695,6689.2325,0.9223
1/17/2014,DRQ,29.803,0.19340395325980134,4334.233,1.1493
1/17/2014,DSW,22.423000000000002,0.12860343411742148,3505.5694,0.8971
1/17/2014,DTE,14.321,-0.026672179627778254,11642.0983,0.7569
1/17/2014,DTLK,176.514,-0.10924369747899165,331.006,0.6892
1/17/2014,DV,39.501,0.18024418464088965,2499.363,0.8816
1/17/2014,DVAX,29.949,0.35199999999999987,543.634,1.994
1/17/2014,DWRE,19.718,0.31544214694236683,2483.5547,1.001
1/17/2014,DXCM,20.262999999999998,0.5318302387267904,2681.8393,1.0989
1/17/2014,EA,70.307,-0.1386522075910148,7449.8529,1.0677
1/17/2014,EAT,27.815,0.20239836777748474,3092.5357,1.1021
1/17/2014,EBIX,46.298,0.20865512410646928,523.1138,1.5545
1/17/2014,ECOM,56.20399999999999,1.0147208121827411,1093.4995,0.8673
1/17/2014,EHTH,97.51299999999999,0.8292988313856426,1148.1923,0.8522
1/17/2014,EL,11.955,0.119517665432267,28153.7705,1.1501
1/17/2014,ELGX,25.38,0.12989556135770225,1059.7898,1.1498
1/17/2014,ELS,11.671,-0.07527085734056171,3053.9895,0.9774
1/17/2014,EMN,13.129000000000001,0.03162435928018291,12295.1551,1.3782
1/17/2014,ENTG,24.201999999999998,0.13955928646379856,1541.2833,1.297
1/17/2014,EOG,23.783,0.09925773236464061,46121.8055,1.3130000000000002
1/17/2014,EQC,18.223,0.040726907053584234,2766.7163,0.6554
1/17/2014,EQT,29.256999999999998,0.005640812059846146,13205.7616,0.9862
1/17/2014,EQY,10.857000000000001,-0.05045167399132516,2686.4212,1.0597
1/17/2014,ES,13.136,-0.05134800052364503,13419.8571,0.7868
1/17/2014,ESV,21.41,0.025473250395977087,12751.2686,1.2127
1/17/2014,ETH,49.915,-0.008576473249137217,772.0198,1.4578
1/17/2014,ETN,22.607,0.07740138524866276,36419.2145,1.286
1/17/2014,ETR,10.935,-0.07857478017830549,10986.2505,0.7267
1/17/2014,EV,14.157,0.032926852355182536,4974.7384,1.4409
1/17/2014,EVER,33.184,0.06264543361954875,2127.6862,0.8109
1/17/2014,EVR,38.032,0.2215694824455062,2035.1213,1.4169999999999998
1/17/2014,EVTC,19.548,-0.1383171698580682,1993.9564,0.4584
1/17/2014,EWBC,16.517,0.11813016546809929,4797.0671,1.1603
1/17/2014,EXAS,42.215,-0.08320726172465971,1014.8297,1.287
1/17/2014,EXP,24.209,0.1384244230339709,3897.5802,1.5693
1/17/2014,EXPD,14.28,0.07210839750225222,8998.2514,0.9561
1/17/2014,EXPE,35.374,0.35238490434174885,9214.6461,1.1065
1/17/2014,EXPR,35.19,-0.13560070671378094,1521.9927,1.032
1/17/2014,EXXIQ,13.690999999999999,-0.015956634899512667,1787.37,1.5506
1/17/2014,EZPW,37.173,-0.39405613648871773,564.8751,1.4378
1/17/2014,FAF,10.89,0.22932214465041098,2808.4953,0.8783
1/17/2014,FAST,34.059,0.02170212965481022,14127.8897,0.9425
1/17/2014,FBHS,23.245,0.02162403026062483,7738.9724,1.5455
1/17/2014,FCEL,132.346,0.36507936507936517,318.3318,0.3816
1/17/2014,FCS,24.566999999999997,0.024720893141945813,1723.4906,1.5048
1/17/2014,FDO,35.778,-0.03360470281017964,7458.3123,0.5994
1/17/2014,FDX,16.98,0.33469109264923375,43871.1816,1.0170000000000001
1/17/2014,FET,37.217,-0.06461864406779667,2399.3197,0.9743
1/17/2014,FHN,24.25,-0.07860931257749003,2819.3942,1.2338
1/17/2014,FII,23.249000000000002,-0.08816146239812056,2987.2225,1.5238
