date,market_cap,vol10,beta,momentum
2015-02-20,0.00048468245779502916,-0.022149300783757247,-0.018933479842509007,0.007044856278636729
2015-02-27,9.663895604261995e-05,-0.0245376390859228,-0.016536439559960075,0.008181296693327275
2015-03-06,9.663895604261995e-05,-0.0245376390859228,-0.016536439559960075,0.008181296693327275
2015-03-13,9.663895604261995e-05,-0.0245376390859228,-0.016536439559960075,0.008181296693327275
2015-03-20,9.663895604261995e-05,-0.0245376390859228,-0.016536439559960075,0.008181296693327275
2015-03-27,-0.0003031073315671342,-0.02429890950502772,-0.01756317840685729,0.007758791412141199
2015-04-03,-0.0003031073315671342,-0.02429890950502772,-0.01756317840685729,0.007758791412141199
2015-04-10,-0.0003031073315671342,-0.02429890950502772,-0.01756317840685729,0.007758791412141199
2015-04-17,-0.0003031073315671342,-0.02429890950502772,-0.01756317840685729,0.007758791412141199
2015-04-24,8.399409565057279e-05,-0.023998223314151274,-0.017970400260346013,0.006838872651777661
2015-05-01,8.399409565057279e-05,-0.023998223314151274,-0.017970400260346013,0.006838872651777661
2015-05-08,8.399409565057279e-05,-0.023998223314151274,-0.017970400260346013,0.006838872651777661
2015-05-15,8.399409565057279e-05,-0.023998223314151274,-0.017970400260346013,0.006838872651777661
2015-05-22,0.0001439045407489851,-0.02484438565048604,-0.01832112600421081,0.007842824538171757
2015-05-29,0.0001439045407489851,-0.02484438565048604,-0.01832112600421081,0.007842824538171757
2015-06-05,0.0001439045407489851,-0.02484438565048604,-0.01832112600421081,0.007842824538171757
2015-06-12,0.0001439045407489851,-0.02484438565048604,-0.01832112600421081,0.007842824538171757
2015-06-19,0.0006805011600175892,-0.027132666399166328,-0.019820111351122927,0.007979866123672517
2015-06-26,0.0006805011600175892,-0.027132666399166328,-0.019820111351122927,0.007979866123672517
2015-07-03,0.0006805011600175892,-0.027132666399166328,-0.019820111351122927,0.007979866123672517
2015-07-10,0.0006805011600175892,-0.027132666399166328,-0.019820111351122927,0.007979866123672517
2015-07-17,0.0014632142275329604,-0.03005876986461175,-0.024538885722110527,0.01261745765709746
2015-07-24,0.0014632142275329604,-0.03005876986461175,-0.024538885722110527,0.01261745765709746
2015-07-31,0.0014632142275329604,-0.03005876986461175,-0.024538885722110527,0.01261745765709746
2015-08-07,0.0014632142275329604,-0.03005876986461175,-0.024538885722110527,0.01261745765709746
2015-08-14,0.0011594224641714127,-0.03093572545367933,-0.02412919134936254,0.012627280353594571
2015-08-21,0.0011594224641714127,-0.03093572545367933,-0.02412919134936254,0.012627280353594571
2015-08-28,0.0011594224641714127,-0.03093572545367933,-0.02412919134936254,0.012627280353594571
2015-09-04,0.0011594224641714127,-0.03093572545367933,-0.02412919134936254,0.012627280353594571
2015-09-11,0.0015117151810600954,-0.031902994008218874,-0.018024209169266676,0.012653787180507983
2015-09-18,0.0015117151810600954,-0.031902994008218874,-0.018024209169266676,0.012653787180507983
2015-09-25,0.0015117151810600954,-0.031902994008218874,-0.018024209169266676,0.012653787180507983
2015-10-02,0.0015117151810600954,-0.031902994008218874,-0.018024209169266676,0.012653787180507983
2015-10-09,0.0020275788519977843,-0.032851728453125555,-0.008612014461651822,0.012302615473951192
2015-10-16,0.0020275788519977843,-0.032851728453125555,-0.008612014461651822,0.012302615473951192
2015-10-23,0.0020275788519977843,-0.032851728453125555,-0.008612014461651822,0.012302615473951192
2015-10-30,0.0020275788519977843,-0.032851728453125555,-0.008612014461651822,0.012302615473951192
2015-11-06,0.002106369528499598,-0.03287113639996855,-0.010029613662334784,0.013560946023900297
2015-11-13,0.002106369528499598,-0.03287113639996855,-0.010029613662334784,0.013560946023900297
2015-11-20,0.002106369528499598,-0.03287113639996855,-0.010029613662334784,0.013560946023900297
2015-11-27,0.002106369528499598,-0.03287113639996855,-0.010029613662334784,0.013560946023900297
2015-12-04,0.0025575237046737416,-0.032471933638948944,-0.014572004027424115,0.013766042238888464
2015-12-11,0.0025575237046737416,-0.032471933638948944,-0.014572004027424115,0.013766042238888464
2015-12-18,0.0025575237046737416,-0.032471933638948944,-0.014572004027424115,0.013766042238888464
2015-12-25,0.0025575237046737416,-0.032471933638948944,-0.014572004027424115,0.013766042238888464
2016-01-01,0.0034560326549668056,-0.034901139145462175,-0.019555872254420348,0.015006537764400982
2016-01-08,0.0034560326549668056,-0.034901139145462175,-0.019555872254420348,0.015006537764400982
2016-01-15,0.0034560326549668056,-0.034901139145462175,-0.019555872254420348,0.015006537764400982
2016-01-22,0.0034560326549668056,-0.034901139145462175,-0.019555872254420348,0.015006537764400982
2016-01-29,0.0034746068330395352,-0.03692204805421903,-0.020910449583465655,0.014903067579361369
2016-02-05,0.0034746068330395352,-0.03692204805421903,-0.020910449583465655,0.014903067579361369
2016-02-12,0.0034746068330395352,-0.03692204805421903,-0.020910449583465655,0.014903067579361369
2016-02-19,0.0034746068330395352,-0.03692204805421903,-0.020910449583465655,0.014903067579361369
2016-02-26,0.0034844082559233333,-0.03622017112513151,-0.010882461648056395,0.013731240593475533
2016-03-04,0.0034844082559233333,-0.03622017112513151,-0.010882461648056395,0.013731240593475533
2016-03-11,0.0034844082559233333,-0.03622017112513151,-0.010882461648056395,0.013731240593475533
2016-03-18,0.0034844082559233333,-0.03622017112513151,-0.010882461648056395,0.013731240593475533
2016-03-25,0.0029881124713259173,-0.034342896435766386,-0.011285239976834706,0.013835347608286077
2016-04-01,0.0029881124713259173,-0.034342896435766386,-0.011285239976834706,0.013835347608286077
2016-04-08,0.0029881124713259173,-0.034342896435766386,-0.011285239976834706,0.013835347608286077
2016-04-15,0.0029881124713259173,-0.034342896435766386,-0.011285239976834706,0.013835347608286077
2016-04-22,0.002307048091880244,-0.03523995712969348,-0.013852953557196781,0.013898180284277698
2016-04-29,0.002307048091880244,-0.03523995712969348,-0.013852953557196781,0.013898180284277698
2016-05-06,0.002307048091880244,-0.03523995712969348,-0.013852953557196781,0.013898180284277698
2016-05-13,0.002307048091880244,-0.03523995712969348,-0.013852953557196781,0.013898180284277698
2016-05-20,0.001948702811244259,-0.03570142692600168,-0.014257003347630479,0.01303093979092292
2016-05-27,0.001948702811244259,-0.03570142692600168,-0.014257003347630479,0.01303093979092292
2016-06-03,0.001948702811244259,-0.03570142692600168,-0.014257003347630479,0.01303093979092292
2016-06-10,0.001948702811244259,-0.03570142692600168,-0.014257003347630479,0.01303093979092292
2016-06-17,0.0020801347384506205,-0.03636607872694195,-0.016579645445919628,0.01325063917404097
2016-06-24,0.0020801347384506205,-0.03636607872694195,-0.016579645445919628,0.01325063917404097
2016-07-01,0.0020801347384506205,-0.03636607872694195,-0.016579645445919628,0.01325063917404097
