date,pnl,cumpnl
2015-03-27,0.0113901367,0.4812104146
2015-04-03,0.0138363741,0.4950467887
2015-04-10,-0.0159601519,0.4790866369
2015-04-17,0.0147785935,0.4938652303
2015-04-24,-0.1064041288,0.3874611015
2015-05-01,0.0818305339,0.4692916354
2015-05-08,-0.0024248794,0.4668667561
2015-05-15,0.0339199547,0.5007867107
2015-05-22,0.016093662,0.5168803727
2015-05-29,-0.0052273332,0.5116530395
2015-06-05,-0.05302919,0.4586238495
2015-06-12,0.0170993081,0.4757231577
2015-06-19,-0.0048883367,0.470834821
2015-06-26,-0.0054826986,0.4653521224
2015-07-03,-0.0011188455,0.464233277
2015-07-10,0.1118930562,0.5761263331
2015-07-17,-0.0564425541,0.519683779
2015-07-24,0.0500721091,0.5697558881
2015-07-31,-0.0447249163,0.5250309717
2015-08-07,-0.0483396883,0.4766912834
2015-08-14,-0.0536911711,0.4230001124
2015-08-21,0.0375626882,0.4605628005
2015-08-28,-0.0218575905,0.43870521
2015-09-04,0.0456646284,0.4843698385
2015-09-11,0.0216912508,0.5060610893
2015-09-18,-0.066974682,0.4390864073
2015-09-25,-0.0207834028,0.4183030045
2015-10-02,-0.0012164645,0.4170865399
2015-10-09,0.0238764884,0.4409630283
2015-10-16,-0.0400429303,0.400920098
2015-10-23,-0.0115160414,0.3894040566
2015-10-30,-0.0251567999,0.3642472567
2015-11-06,-0.0274250913,0.3368221654
2015-11-13,0.0727533413,0.4095755068
2015-11-20,0.045450081,0.4550255878
2015-11-27,-0.0126473598,0.442378228
2015-12-04,-0.0576688452,0.3847093828
2015-12-11,0.0034500193,0.3881594021
2015-12-18,0.0133071695,0.4014665716
2015-12-25,-0.0001415411,0.4013250305
2016-01-01,-0.1024974172,0.2988276133
2016-01-08,-0.0515651707,0.2472624426
2016-01-15,0.0153453261,0.2626077687
2016-01-22,0.0213004957,0.2839082644
2016-01-29,-0.1089699216,0.1749383428
2016-02-05,-0.0765168532,0.0984214896
2016-02-12,0.0798371993,0.1782586889
2016-02-19,0.0097479171,0.188006606
2016-02-26,0.0068314319,0.1948380379
2016-03-04,0.0052535463,0.2000915842
2016-03-11,0.01905393,0.2191455142
2016-03-18,-0.0119745484,0.2071709657
2016-03-25,0.0196654818,0.2268364476
2016-04-01,-0.0004274683,0.2264089793
2016-04-08,-0.0245362176,0.2018727617
2016-04-15,-0.0467919892,0.1550807725
2016-04-22,-0.0224250947,0.1326556778
2016-04-29,-0.0438852478,0.08877043
2016-05-06,0.006713285,0.095483715
2016-05-13,-0.0105293711,0.0849543439
2016-05-20,0.0097763495,0.0947306933
2016-05-27,0.0051476614,0.0998783547
2016-06-03,0.0071983155,0.1070766702
2016-06-10,-0.0002725232,0.1068041471
2016-06-17,-0.0051834451,0.101620702
2016-06-24,0.0402262959,0.1418469979
2016-07-01,0.0140132165,0.1558602143
2016-07-08,-0.0047140956,0.1511461187
2016-07-15,-0.0726116966,0.0785344221
2016-07-22,-0.000938185,0.0775962371
2016-07-29,0.002847892,0.0804441291
2016-08-05,-0.0382115845,0.0422325447
2016-08-12,0.0048817506,0.0471142953
2016-08-19,-0.0435572308,0.0035570645
2016-08-26,0.0014076331,0.0049646976
2016-09-02,-0.016764761,-0.0118000634
2016-09-09,0.061939667,0.0501396035
2016-09-16,0.0382341795,0.0883737831
2016-09-23,-0.0445893441,0.043784439
2016-09-30,0.0067150344,0.0504994734
2016-10-07,-0.0423708661,0.0081286073
2016-10-14,0.0224824189,0.0306110262
2016-10-21,0.0186734468,0.0492844729
2016-10-28,-0.0005835156,0.0487009573
2016-11-04,0.0775091321,0.1262100894
2016-11-11,0.0239361175,0.1501462069
2016-11-18,0.015228756,0.165374963
2016-11-25,-0.0323354533,0.1330395097
2016-12-02,0.0133183713,0.146357881
2016-12-09,-0.0004076321,0.1459502488
2016-12-16,-0.0060975365,0.1398527123
2016-12-23,-0.0035331402,0.1363195722
2016-12-30,0.0044014774,0.1407210496
