date,beta,momentum,vol10,market_cap
2015-02-06,-0.0035911437915183944,0.0014549501915582868,-0.0069615650183192795,-9.192776856692714e-05
2015-02-13,-0.0034298331914913416,0.001539667765967447,-0.00701228369056257,-4.0239458088856716e-05
2015-02-20,-0.003077916978590299,0.001589887740927223,-0.007029742793026662,-5.881528279467882e-05
2015-02-27,-0.0024589255815642254,0.001615300620819409,-0.00732685203019136,-0.00014361483305508365
2015-03-06,-0.0029864036323315486,0.0018734233377166282,-0.0075702392505712325,-0.00018979159532132576
2015-03-13,-0.003015756737152428,0.0019739467222328983,-0.007745356277667082,-0.00013821651660196504
2015-03-20,-0.0027999200415934123,0.0018905090921766418,-0.00790360935940444,-0.00017802435711010737
2015-03-27,-0.002731481503061753,0.0018502332549248943,-0.0077421782513809176,-0.00023092095787905214
2015-04-03,-0.0024693628454727536,0.0018531860302173297,-0.007366658038284816,-0.00022425825087518894
2015-04-10,-0.0019369997785587268,0.0017161256862680745,-0.0073914815496240825,-0.0002850903906122262
2015-04-17,-0.0018828681603786927,0.0016909415232814486,-0.007056293707445335,-0.0002878617644907347
2015-04-24,-0.0020308245929915162,0.0015324322548505274,-0.0073263879450297005,-0.00016105651488199216
2015-05-01,-0.002389249482718015,0.001604331071459459,-0.007198410506008944,-0.000160910754870652
2015-05-08,-0.0016543801558964151,0.001630210009487574,-0.007121042058301522,-0.000136085963508204
2015-05-15,-0.0016121881359789337,0.001643982887927679,-0.007083628286644295,-0.00012552117954570317
2015-05-22,-0.0021141156560582556,0.0018141172174272874,-0.007250012281096474,-9.953843658066143e-05
2015-05-29,-0.0017199918266768183,0.001902032498790775,-0.00744576785276771,-0.0001436893763260318
2015-06-05,-0.002338855709289185,0.0018512782815828706,-0.007297482686278743,-0.00014397459393181942
2015-06-12,-0.002348441139586931,0.0018027612997297588,-0.007415529236299113,-0.00012613622502170412
2015-06-19,-0.002278722800596672,0.00179114694071931,-0.007606711999921517,-9.652593208226685e-05
2015-06-26,-0.0027295459702114987,0.001794659751116336,-0.007865217718382665,-2.8715136146120923e-05
2015-07-03,-0.003357445386965902,0.0017584231399944813,-0.007786855700984167,5.5637784774252435e-05
2015-07-10,-0.003940407543171132,0.0018604758467387415,-0.007994026027459024,8.775717456112243e-05
2015-07-17,-0.004423718951319531,0.011454951203022267,-0.008226773765165146,0.00019952371953428394
2015-07-24,-0.004205751544780407,0.011467601026303394,-0.008464631103064295,0.00022390882436606988
2015-07-31,-0.004289889894994074,0.011476224486490822,-0.008866396877325659,0.0002236682124560225
2015-08-07,-0.004482522715561159,0.011468568779289433,-0.00870088606354032,0.000235894262141506
2015-08-14,-0.004052222822173781,0.01142565401241987,-0.008803686880299245,0.00017074954029640523
2015-08-21,-0.0040730260519175835,0.011419518367598913,-0.00862087506844173,0.000204713979046286
2015-08-28,-0.004205573844549666,0.01140071962170279,-0.008758656051526315,7.964174502578102e-05
2015-09-04,-0.003942248049273,0.011504925574181042,-0.008869783219918558,0.00011608312067472178
2015-09-11,-0.0020262709184981544,0.011565404356223965,-0.008786139938859832,6.769620856861661e-05
2015-09-18,-0.0032759819290020115,0.011601456574085879,-0.009040176864856852,0.00018200470944065598
2015-09-25,-0.0037716548258056224,0.011563988051714052,-0.009163624685044891,0.0003443533517407083
2015-10-02,-0.0018728020153616993,0.011167375387206814,-0.009342882142649998,0.00024339060926246482
2015-10-09,-0.0015040516360458143,0.01130791354499083,-0.00929568578999682,0.0003222088134453414
2015-10-16,2.6247963457991045e-06,0.01122512731759005,-0.009671696230922698,0.0003465919379154426
2015-10-23,-0.0028367516407111987,0.01138620976493362,-0.009555088172049407,0.0004205979069232302
2015-10-30,-0.0034302638292013545,0.01140544884409826,-0.0092880953274442,0.0002562777782061769
2015-11-06,-0.0006806041358930588,0.011603870247031455,-0.00943579905832883,0.00029546053076812606
2015-11-13,-0.0010200448615136635,0.011698495882698216,-0.009516363171745259,0.0003368880219608095
2015-11-20,-0.0029405756512954164,0.011666074623733824,-0.009293518086272597,0.0002770020245315361
2015-11-27,-0.003023168788526016,0.01174188218239038,-0.009395898063197239,0.00043884188391274615
2015-12-04,-0.0017773838007844446,0.011769968222769267,-0.009654009255992422,0.00041878068004957026
2015-12-11,-0.0036551321429159067,0.011776836226005918,-0.009453585064664729,0.0004121514124037595
2015-12-18,-0.0031983408851046875,0.011599703246963484,-0.009364402971823067,0.00046243273210805417
2015-12-25,-0.003370280396046682,0.011654667448154148,-0.009500627553121139,0.0005145573151283522
2016-01-01,-0.004237200835718971,0.011900908736074212,-0.009352136876375663,0.0006222062788424217
2016-01-08,-0.002921202669476641,0.012115126557523921,-0.009777747739633226,0.0007343307370107743
2016-01-15,-0.0025070174873262283,0.012055598112019759,-0.009897769669727005,0.0007685775723496687
2016-01-22,-0.002503578768878021,0.012144196401349998,-0.009984812444495714,0.000819404353629499
2016-01-29,-0.0038366480770043896,0.01196044319543808,-0.010104670921915155,0.0007960368221492671
2016-02-05,-0.006437847109432087,0.012051067703449256,-0.010044828075846508,0.0007566360806268638
2016-02-12,-0.005914462608697213,0.012059432973494247,-0.009575617127281541,0.0007725906422046058
2016-02-19,-0.006903485404803058,0.011984725727041536,-0.009792709299406866,0.0007781540862597258
2016-02-26,-0.005013467151626423,0.011635914588019002,-0.00961294536792981,0.0007398209471427346
2016-03-04,-0.005194903928368265,0.011576388357658061,-0.009635418752135754,0.000806158170430063
2016-03-11,-0.003672175213085527,0.011601766572295827,-0.00983868584559858,0.0008326898401399565
2016-03-18,-0.004591477291232634,0.011737067543974578,-0.009727067158985228,0.000879440849776778
2016-03-25,-0.004403982557749085,0.011706113731299412,-0.00943451086862754,0.0007292662175485042
2016-04-01,-0.0047781314419343916,0.011706452009867342,-0.00924247309861171,0.0007298009698565964
2016-04-08,-0.004014337043991036,0.011622667549725709,-0.009207759592082523,0.0006677134727845047
2016-04-15,-0.003779196191275777,0.011547781282944437,-0.009190754056442036,0.0005646561636452136
2016-04-22,-0.004312386419747162,0.01159134144610883,-0.009220592646001446,0.0005233424328177669
2016-04-29,-0.004639009317443143,0.01179495079187644,-0.00935034538865362,0.0005218239594295394
2016-05-06,-0.005775260977714162,0.011932110830552924,-0.009168695676704402,0.0005014420924407462
2016-05-13,-0.005441210444827758,0.011799078786817825,-0.00930446004584675,0.00046015096917505146
2016-05-20,-0.005026728680456172,0.011625497306417987,-0.009424570837868169,0.00042880509579680385
2016-05-27,-0.005056493607186855,0.011624491383464632,-0.009156195368143655,0.0003967597068102395
2016-06-03,-0.00569110730879477,0.011532844190628909,-0.009244610464957713,0.0004007269964873211
2016-06-10,-0.005532511580540198,0.011627366832092758,-0.009347806384411963,0.0004690647181530057
2016-06-17,-0.005429906443117692,0.011525077276948703,-0.009574311341755475,0.0004526259822808324
2016-06-24,-0.0061475284478698525,0.011695667209876926,-0.009280515172916297,0.00051018913707023
2016-07-01,-0.00634389700091095,0.011730937678999274,-0.009544200973654897,0.0005087409420528067
2016-07-08,-0.006069754278726406,0.011751701957125537,-0.009514187285791882,0.00035571493608020703
2016-07-15,-0.007430268658789311,0.011738340707637726,-0.009515248384337162,0.00032859527079329295
2016-07-22,-0.007344617598191289,0.011872539294699497,-0.009510177526278946,0.00027931069102578136
2016-07-29,-0.005982504902481134,0.011904750063755415,-0.009418335370983792,0.0002646973767809476
2016-08-05,-0.006163315112614708,0.011900924956621742,-0.00940171317116185,0.000320125023455539
2016-08-12,-0.004985244706522436,0.011828058871112511,-0.009499991174069895,0.0002529064829791372
2016-08-19,-0.00541746690822688,0.011747726554352148,-0.009295355877146574,0.00022264477260374875
2016-08-26,-0.005652182176370666,0.011818310272945644,-0.009279186681560948,0.00022368263744070228
2016-09-02,-0.005425287185003956,0.011775149604186332,-0.009201025164812115,0.00017544750248705144
2016-09-09,-0.005505889016047404,0.01193163210683084,-0.009238494075776966,0.00018101348970184797
2016-09-16,-0.005477141133487446,0.011912092272862704,-0.009156945928606396,2.4896359364794335e-05
2016-09-23,-0.004125787452229979,0.011883546817789395,-0.009257368551688355,-1.1999493683538622e-05
2016-09-30,-0.003422558332509268,0.011795743804610142,-0.009240943861021908,-2.4676935950336377e-05
2016-10-07,-0.00231668657215081,0.011736139913707725,-0.009062921195899038,-1.4086648058953798e-05
2016-10-14,-0.002941652529032855,0.011743877209285295,-0.009254205540133505,0.00014135669958023194
2016-10-21,-0.003989372674998691,0.011657300071926686,-0.00904365915532654,0.00021124836396927633
2016-10-28,-0.004535397842991027,0.011812825235132987,-0.008786038696894745,0.0003815040340518748
2016-11-04,-0.0019109787112770206,0.011866371923772916,-0.008847191649246574,3.7995411314451145e-05
2016-11-11,-0.0017553432018301803,0.011804017407787882,-0.00876693153667984,-3.571111769677128e-05
2016-11-18,-0.001407596241652598,0.011992805139705798,-0.008798134223877617,-0.0001563558640339141
2016-11-25,-0.00046514056611739527,0.012467520108210653,-0.008971188274664251,-8.991360053055007e-05
2016-12-02,-0.0003633216271680346,0.012023259474748286,-0.008261310984904667,-0.00015458355300846616
2016-12-09,-0.00033214078174867136,0.011861065803260247,-0.008645148903806653,-2.741826373136528e-05
2016-12-16,-0.001568540277524393,0.011321648781565165,-0.008794095898032952,-5.1880714105936586e-05
2016-12-23,-0.0024114960769719682,0.010472387331299403,-0.009250585879589511,-3.049018665203404e-05
2016-12-30,-0.0028437599290095715,0.00936697226777018,-0.00905059124616772,1.0296039876142813e-05
