date,momentum,vol10,beta,market_cap
2015-01-30,0.0024325435000682512,0.00023017199491081244,-0.0006316621990130327,0.0007201424500612242
2015-02-06,0.0010864918359160642,0.0002165015709627124,-0.0005194980186495157,0.0008706924656851475
2015-02-13,0.0007104909269843718,0.0001861301865702358,-0.0004872672162040118,0.0008586076425752345
2015-02-20,0.0014534472323553295,-6.493959186011422e-05,-0.00029523198847931215,0.0007084653073567451
2015-02-27,0.0018973846360093682,-5.478810409945082e-05,-2.0138453723417906e-05,0.0009594146313652181
2015-03-06,0.002380459330758688,0.0003855480408131358,0.00014610179351350923,0.0012087145672188338
2015-03-13,0.0030155484953938204,0.00031074662653634693,0.00023695379638924807,0.0011431962541786243
2015-03-20,0.002957642385592541,0.00021583562411032573,0.0002468479433098475,0.0010654527627515934
2015-03-27,0.002741537194920251,0.00048217361874506394,9.136043895741964e-05,0.0009473781676327443
2015-04-03,0.002759953085892294,0.0003686884848012757,0.00011404513476497814,0.000745147100607285
2015-04-10,0.0031223100709020565,0.00034129948199482983,0.00011770149008808408,0.0006858173248065996
2015-04-17,0.0028464688254957815,0.00024343085999373656,5.9063244192564905e-05,0.0006116709917023652
2015-04-24,0.003200170510708316,0.00020837887756017966,0.00013740234510688755,0.0005650606619686384
2015-05-01,0.002191392089295421,0.00043965164663523694,0.00027001926646922237,0.0005050939016979896
2015-05-08,0.0028972701797564085,0.0004649570176024791,0.000264090151635504,0.0005566161239123282
2015-05-15,0.0029753275044099776,0.0005007834991783976,0.0002693716585744456,0.0005337419466063334
2015-05-22,0.002949008351948004,0.0005485879912685904,0.0003229358289230141,0.00026649646644822826
2015-05-29,0.0031921566409355683,0.0003851156805065376,0.000212894753454905,0.00013369160326800688
2015-06-05,0.00287730659714225,0.00042922876315470553,0.0002975678483981368,0.00018087524931484358
2015-06-12,0.0026467806963948134,0.00045209981308757093,0.00018484396968997138,2.461389934470404e-05
2015-06-19,0.003170295889200072,0.00015785666291319035,0.00017096465113075095,-0.00012141692752178308
2015-06-26,0.002251095650122166,3.127912091808853e-05,0.0003543451875161866,-9.374571893867298e-05
2015-07-03,0.0019487142579821977,0.00022536990727554994,0.0005742794624214877,-1.0148522565142215e-05
2015-07-10,0.0015955016516237168,0.00034914083483265706,0.0006713837569078506,2.2893925217221585e-05
2015-07-17,0.002778243332696247,0.0003893753236103772,0.0006710879219199307,7.588032204318319e-05
2015-07-24,0.0027242325566360437,0.0002076679905882493,0.0006067418903758447,1.4110595336834677e-05
2015-07-31,0.0027277155576754105,9.653613879493966e-05,0.0005920136997059471,-5.91658153389738e-06
2015-08-07,0.0020092688317965143,-2.2877207529122435e-05,0.0006219715105247432,1.7431142178374955e-05
2015-08-14,0.0016047412620023979,-0.0001005558760217146,0.0009096137786661576,2.618273774012365e-06
2015-08-21,0.0013871210076842806,-2.9906155600392568e-05,0.001063413058089005,-3.215379717892353e-05
2015-08-28,0.001652174900058489,-8.584983977563764e-05,0.0009624135569511127,-0.0001547972618479694
2015-09-04,0.0023584614809307085,7.972527927157676e-05,0.0008613906106200948,-0.0003922179686249693
2015-09-11,0.002693256675238565,5.266447020865641e-05,0.0008323856406756056,-0.00037591042238913297
2015-09-18,0.0025325183143725906,0.00041532164761288434,0.0007058715759375512,-0.0003311419163413752
2015-09-25,0.0026014890671536475,0.0001808074724896727,0.0005824788955823558,-0.0006490856224529793
2015-10-02,0.002375981847281906,-0.00019778794289455323,0.0006456501892777889,-0.0010506712195105386
2015-10-09,0.0007499171517427236,-8.454295263737756e-05,0.00036096663568284024,-0.0010286288896466885
2015-10-16,0.0008484098899891158,0.00011521895735078526,0.000490567970896157,-0.000919601773824859
2015-10-23,0.0013688068137705776,0.000314727343345223,0.00041622661241154504,-0.0005778115692305972
2015-10-30,0.0017250348812659362,0.00034761154652518687,0.0004443920038314648,-0.0005694359754731538
2015-11-06,0.001615360267981903,0.0005066113062648176,0.00046266686910258155,-0.00047668040298698785
2015-11-13,0.0021191449734888445,0.0007177763522888975,0.00035146118816814335,-0.0005598506312935854
2015-11-20,0.0019040709644128713,0.0008917119408790398,0.0005498742086678732,-0.00028266495164619703
2015-11-27,0.0027848020329034723,0.0006345086209243414,0.00028999765297844145,-0.0002028446938306072
2015-12-04,0.0025461418889925333,2.3305801072576587e-05,0.0004086088467545307,-0.0004425115143783548
2015-12-11,0.0027177179923481886,0.00012763206848864778,0.0002688876186318743,-0.0002483589939004952
2015-12-18,0.0025494930527438617,0.0001874108172260944,0.0002058606162704352,-0.00019177895615187502
2015-12-25,0.0016701139419609814,6.505859061791039e-05,0.00026363078410270865,-0.00033184359808878375
2016-01-01,0.0020076927908622383,-7.026485035487605e-05,0.00018970875801184778,-0.0004372158955006599
2016-01-08,0.002450290579753193,-0.000495018044712658,0.0005188693144731333,-0.00048722612941710247
2016-01-15,0.0025011769391132593,-0.0004067081463147365,0.00040779774428856616,-0.0007004983671288368
2016-01-22,0.0021610260543962257,-0.00062761072628349,0.0003270101301456368,-0.0007510905901495625
2016-01-29,0.002313110480121154,-0.0010680574156023768,0.00037406940355616444,-0.000778828525219744
2016-02-05,0.0019285443582864525,-0.0009188570949493884,0.0003786651896596035,-0.0007669616646455663
2016-02-12,0.0014973182298938154,-0.0007012910394714669,0.0004303023080712085,-0.0008503000023556001
2016-02-19,0.0013485289770269237,-0.0005766710740670298,0.00037911087981064973,-0.0007814803256858349
2016-02-26,0.0012379574009553777,-0.0005658995699873023,0.00019300148228651584,-0.0007708010538091446
2016-03-04,0.0006305589773410539,-0.0008020095438530522,0.0001763018283952638,-0.0009014289512752223
2016-03-11,0.0009677575850174691,-0.0007785411992181045,9.042054606193252e-05,-0.0009236349783391795
2016-03-18,0.0014901377445581479,-0.0012801256999558804,0.00018688568757355945,-0.0012339288807404526
2016-03-25,0.0014362460689630397,-0.0013018393338757074,0.0001784561512985075,-0.0011438264925729008
2016-04-01,0.0013198974554559835,-0.0014512551697423851,0.0002523225281867365,-0.001082648411825805
2016-04-08,0.000893583759801191,-0.0015484734202964113,0.0002942285039432679,-0.001216587571848816
2016-04-15,0.0006811242250637847,-0.0017683841597657508,0.0003941183121680609,-0.0009968651025840905
2016-04-22,0.00011391813527827625,-0.0015991978366519525,0.00041176741420748467,-0.001043367684051995
2016-04-29,0.0003156002960795713,-0.0016221027761289537,0.00033680798202032926,-0.0010332000310936075
2016-05-06,0.002149939005361359,-0.0016031242007305115,0.0007730796313712358,-0.0008605672175890188
2016-05-13,0.0016401455700445866,-0.0016939078369045582,0.000474876045844283,-0.0008460611385976137
2016-05-20,0.0006145095326184624,-0.0018931575744388235,0.0006449909274204718,-0.0010774426915102242
2016-05-27,-0.00013516269022691025,-0.0018854162990162846,0.0005614671029569152,-0.0011628543540910543
2016-06-03,8.829196491011927e-05,-0.002069610427373419,0.0006314944759671895,-0.001236577747803759
2016-06-10,0.00021850448424212094,-0.002429582098730122,0.0008470004105954661,-0.001032423206293411
2016-06-17,0.000627154744852672,-0.002644437840616114,0.0005299073476081339,-0.0014065523198012648
