date,vol10,beta,market_cap,momentum
2014-05-23,-0.005006773593539651,0.0014741428049379712,-0.0008054493288858068,-0.00029778432588933683
2014-05-30,-0.0046879070599092,0.001624335237087936,-0.0008345555859001342,-0.00013701098873869776
2014-06-06,-0.0045979857017041,0.0016131920402287002,-0.0008841470037353541,-0.00013687496918905748
2014-06-13,-0.004416407846203734,0.0007401110408311349,-0.0008760543617460968,-6.881603871239524e-05
2014-06-20,-0.0042232305103875375,0.0007013528272001718,-0.0008648970258587151,0.00011414223825336537
2014-06-27,-0.004413774986783693,0.0004705893253264841,-0.0007413377142272667,8.546573900367998e-05
2014-07-04,-0.0045769037486465885,0.0007297476420500289,-0.0008703467655156836,0.00021742162840745013
2014-07-11,-0.004880881496645341,-0.00024408676538392014,-0.0005010459775065477,0.00013266070374205597
2014-07-18,-0.005195948114435267,-0.0005419219898940415,-0.00043934709377612877,7.111977744461985e-05
2014-07-25,-0.00503833481103275,-0.0006104178780530215,-0.0002875550904305555,-3.0406227740944718e-05
2014-08-01,-0.005142497052613091,-0.0007808429421989218,-0.00018908604673214342,0.0001171597229093518
2014-08-08,-0.005256671357451898,-0.0007811365703719659,-0.0002203766985302146,0.00015552309734954262
2014-08-15,-0.004185521364239746,-0.00027347937905086787,7.223260277914403e-05,7.656090368540984e-05
2014-08-22,-0.004197457777750689,0.00018586962160160522,0.00020425079869393136,9.510204497761507e-05
2014-08-29,-0.004084558992302328,0.00017886816831482244,-0.00010661708876004459,0.0001403733555712825
2014-09-05,-0.004126329493539354,-4.410097308876456e-05,-0.0004671492876684859,7.501119843840947e-05
2014-09-12,-0.0036577073789318872,-0.00033337053996696636,-0.0006310588009199035,0.00018209505430672498
2014-09-19,-0.004644799711841397,-0.00030357738398945923,-0.000333427196869372,0.0004319886815313977
2014-09-26,-0.00400023408820004,-0.0007860856138376778,0.0001000170408978051,0.0004346359889184477
2014-10-03,-0.004313659134370146,-0.0002908313815065397,0.0006303518444021211,0.0006505005998180053
2014-10-10,-0.005002577381771966,-0.0006956711937863362,0.0009045817791978498,0.0005150309434862001
2014-10-17,-0.004394869656390304,-0.0008196154441599691,0.0006497069869174425,0.0007119882722989875
2014-10-24,-0.003712187356356979,-0.000195943241903615,0.0005951508386365933,0.0007323022926848781
2014-10-31,-0.003343438913219774,-0.0002873309667059355,0.0003408065619218271,0.00064714461853452
2014-11-07,-0.0025865737089907125,-0.0004352862431682649,0.0006103145774060201,0.0006590278460623714
2014-11-14,-0.0026579348833829647,-0.0002579271780476207,0.0005834771947842955,0.0006253170871105436
2014-11-21,-0.0018897450617728648,0.00014064922817443433,0.0008086641049009889,0.0007380093118235199
2014-11-28,-0.00287594356720666,-0.0003191688424929596,0.0006260512489719682,0.0007146808561376051
2014-12-05,-0.0030686568482959243,0.0002148664392030054,0.0002642383531751765,0.0006281925349382511
2014-12-12,-0.0038898699501574126,0.0009764010589835014,0.00012243419294333054,0.0008771112865922506
2014-12-19,-0.003450821060504809,0.0016509273643083345,0.00014113913486850122,0.0008455033266230882
2014-12-26,-0.0037528390072137643,0.0016507709479020281,4.3526223331867095e-05,0.0006686269610632993
2015-01-02,-0.0034652204677962264,0.0015416858707842092,2.407279615604732e-05,0.0006493746715079484
2015-01-09,-0.0036342440399259822,0.0013821628813495065,0.0003161136859006652,0.0007829839373876232
2015-01-16,-0.004121262348419854,0.0010362520206718831,0.00029347435780833223,0.0005991189712900075
2015-01-23,-0.0042878871703241235,0.001445134332441352,0.000554193416715977,0.0006279015368565009
2015-01-30,-0.0042053983263120615,0.001472591903222146,0.0006391209995794091,0.000561661165145196
